Date,Name,Year,Letterboxd URI
2024-05-04,The Disaster Artist,2017,https://boxd.it/cTqc
2024-05-05,Brothers,2014,https://boxd.it/dVNa
2024-05-05,The Strange Thing About the Johnsons,2011,https://boxd.it/56nO
2024-05-06,The House That Jack Built,2018,https://boxd.it/dWO4
2024-05-07,Django Unchained,2012,https://boxd.it/2cCk
2024-05-08,Mean Streets,1973,https://boxd.it/2aSU
2024-05-09,The Revenant,2015,https://boxd.it/8H5e
2024-05-10,The Devils,1971,https://boxd.it/1inI
2024-05-14,Killer's Kiss,1955,https://boxd.it/1Xcc
2024-05-16,Shadow of a Doubt,1943,https://boxd.it/1BtA
2024-05-19,The Maltese Falcon,1941,https://boxd.it/29c4
2024-05-20,Sunset Boulevard,1950,https://boxd.it/2a20
2024-05-21,The Apartment,1960,https://boxd.it/2aGE
2024-05-21,The Hateful Eight,2015,https://boxd.it/8gw8
2024-05-27,Persona,1966,https://boxd.it/29B4
2024-05-27,Solaris,1972,https://boxd.it/2a2Y
2024-05-28,Laura,1944,https://boxd.it/27Oq
2024-05-29,Bunny Lake Is Missing,1965,https://boxd.it/27NW
2024-06-02,The Third Man,1949,https://boxd.it/294E
2024-06-15,A Quiet Place,2018,https://boxd.it/fVJQ
2024-06-16,I Saw the TV Glow,2024,https://boxd.it/woVe
2024-06-17,Deep Red,1975,https://boxd.it/1E1E
2024-06-18,Close Encounters of the Third Kind,1977,https://boxd.it/29u8
2024-06-19,Problemista,2023,https://boxd.it/waGO
2024-06-20,Sherlock Jr.,1924,https://boxd.it/298m
2024-06-28,Jurassic Park,1993,https://boxd.it/2aA2
2024-06-29,In a Violent Nature,2024,https://boxd.it/K5eI
2024-06-30,Friday the 13th,1980,https://boxd.it/24fs
2024-06-30,Raiders of the Lost Ark,1981,https://boxd.it/2bbs
2024-07-01,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE
2024-07-02,A Nightmare on Elm Street 3: Dream Warriors,1987,https://boxd.it/1X9W
2024-07-03,Wes Craven's New Nightmare,1994,https://boxd.it/1TsU
2024-07-03,Evil Dead,2013,https://boxd.it/3GPq
2024-07-04,Ren Faire,2024,https://boxd.it/MsUc
2024-07-06,The Devil's Bath,2024,https://boxd.it/z7to
2024-07-06,MaXXXine,2024,https://boxd.it/CIM4
2024-07-08,The House of the Devil,2009,https://boxd.it/1uIe
2024-07-09,Blow Out,1981,https://boxd.it/1TlE
2024-07-09,Body Double,1984,https://boxd.it/1TGW
2024-07-09,Dressed to Kill,1980,https://boxd.it/1UO8
2024-07-09,Phantom of the Paradise,1974,https://boxd.it/1s34
2024-07-09,Some Kind of Heaven,2020,https://boxd.it/nH7Y
2024-07-10,Goldman v Silverman,2020,https://boxd.it/oIV8
2024-07-10,Punch-Drunk Love,2002,https://boxd.it/20E4
2024-07-11,Boogie Nights,1997,https://boxd.it/23um
2024-07-11,The Master,2012,https://boxd.it/2cBG
2024-07-14,Inherent Vice,2014,https://boxd.it/5hla
2024-07-14,There Will Be Blood,2007,https://boxd.it/20Z2
2024-07-15,The 400 Blows,1959,https://boxd.it/2b1C
2024-07-18,SPERMWORLD,2024,https://boxd.it/IE5C
2024-07-23,Chime,2024,https://boxd.it/KiS2
2024-07-23,Kaili Blues,2015,https://boxd.it/cksW
2024-07-24,The Fog,1980,https://boxd.it/29Cc
2024-07-24,Christine,1983,https://boxd.it/1ZRQ
2024-07-26,Rush,2013,https://boxd.it/3lyS
2024-07-28,Titane,2021,https://boxd.it/nlQC
2024-07-28,Battle Royale,2000,https://boxd.it/25zS
2024-08-07,Shin Kamen Rider,2023,https://boxd.it/uDlw
2024-08-10,Exhuma,2024,https://boxd.it/vCu0
2024-08-13,The Happiest Guy in the World,2018,https://boxd.it/kD8i
2024-08-15,Ran,1985,https://boxd.it/1Tlu
2024-08-16,Seven Samurai,1954,https://boxd.it/2axi
2024-08-18,Dreams,1990,https://boxd.it/1ROu
2024-08-18,Kwaidan,1964,https://boxd.it/1kbY
2024-08-19,Alien: Romulus,2024,https://boxd.it/zGqO
2024-08-25,Prometheus,2012,https://boxd.it/2s9e
2024-08-25,Alien: Covenant,2017,https://boxd.it/49UY
2024-08-26,Bramayugam,2024,https://boxd.it/Iekc
2024-09-01,Longlegs,2024,https://boxd.it/KzLM
2024-09-05,Where the Sidewalk Ends,1950,https://boxd.it/1IYq
2024-09-07,The Lady Vanishes,1938,https://boxd.it/29ea
2024-09-07,Stage Fright,1950,https://boxd.it/27Is
2024-09-09,Anatomy of a Murder,1959,https://boxd.it/2baa
2024-09-15,Force Majeure,2014,https://boxd.it/7UcA
2024-09-16,Manhattan,1979,https://boxd.it/29Na
2024-09-16,The Purple Rose of Cairo,1985,https://boxd.it/1VeU
2024-09-19,First Reformed,2017,https://boxd.it/go9C
2024-09-22,The Shaggy D.A.,1976,https://boxd.it/1LaI
2024-09-29,The Substance,2024,https://boxd.it/zanS
2024-09-29,Manhattan Murder Mystery,1993,https://boxd.it/1Wg8
2024-10-05,Apartment 7A,2024,https://boxd.it/uock
2024-10-06,The Omen,1976,https://boxd.it/29By
2024-10-06,The First Omen,2024,https://boxd.it/fx08
2024-10-08,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk
2024-10-09,River,2023,https://boxd.it/H1sK
2024-10-10,Interview with the Vampire,1994,https://boxd.it/29XO
2024-10-10,Ghost in the Shell,1995,https://boxd.it/1YYc
2024-10-10,The Platform 2,2024,https://boxd.it/Gz88
2024-10-10,Death Note,2017,https://boxd.it/bOS4
2024-10-10,Tour de Pharmacy,2017,https://boxd.it/gnxS
2024-10-10,7 Days in Hell,2015,https://boxd.it/8VZ6
2024-10-12,Westworld,1973,https://boxd.it/26RS
2024-10-13,The Andromeda Strain,1971,https://boxd.it/1W4Q
2024-10-13,Planet of the Apes,1968,https://boxd.it/29p8
2024-10-14,Ikarie XB 1,1963,https://boxd.it/1EzG
2024-10-14,Dark City,1998,https://boxd.it/26uk
2024-10-18,Grand Prix,1966,https://boxd.it/1DzK
2024-10-19,Ace in the Hole,1951,https://boxd.it/1vXk
2024-10-20,Some Like It Hot,1959,https://boxd.it/2aNA
2024-10-21,Uzumaki,2024,https://boxd.it/nimO
2024-10-22,Foreign Correspondent,1940,https://boxd.it/1vlA
2024-10-23,Caché,2005,https://boxd.it/2amY
2024-10-24,The Lives of Others,2006,https://boxd.it/2a4A
2024-10-25,Casino,1995,https://boxd.it/2ads
2024-10-26,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440
2024-10-28,GoodFellas,1990,https://boxd.it/29FA
2024-11-09,Network,1976,https://boxd.it/1VqG
2024-11-09,Let the Right One In,2008,https://boxd.it/1Qr0
2024-11-10,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2024-11-10,For a Few Dollars More,1965,https://boxd.it/29eu
2024-11-11,A Fistful of Dollars,1964,https://boxd.it/2auo
2024-11-14,Martin,1977,https://boxd.it/1tJ6
2024-11-15,Picnic at Hanging Rock,1975,https://boxd.it/1UQe
2024-11-17,A Different Man,2024,https://boxd.it/BoEC
2024-11-19,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy
2024-11-20,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2024-11-20,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2024-11-20,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2024-11-21,Halloween II,1981,https://boxd.it/1UeE
2024-11-21,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc
2024-11-21,The Last Voyage of the Demeter,2023,https://boxd.it/nzTq
2024-11-24,I'm Still Here,2024,https://boxd.it/BPEO
2024-11-24,Megalopolis,2024,https://boxd.it/lPBS
2024-11-25,The Thirteenth Floor,1999,https://boxd.it/294Y
2024-11-26,Creepy,2016,https://boxd.it/dfd0
2024-11-27,The Medium,2021,https://boxd.it/s0oi
2024-11-27,Impetigore,2019,https://boxd.it/l1fs
2024-11-28,Retribution,2006,https://boxd.it/NO4
2024-11-29,The Red Light Bandit,1968,https://boxd.it/5ESQ
2024-11-29,"São Paulo, Incorporated",1965,https://boxd.it/2BaA
2024-11-30,Faust,1926,https://boxd.it/1Vxi
2024-12-03,Death Proof,2007,https://boxd.it/27GG
2024-12-03,Conclave,2024,https://boxd.it/AO8q
2024-12-05,In a Lonely Place,1950,https://boxd.it/1JgO
2024-12-05,Casablanca,1942,https://boxd.it/2aG0
2024-12-08,The Lord of the Rings: The War of the Rohirrim,2024,https://boxd.it/vDNs
2024-12-10,Dracula,1979,https://boxd.it/1fk2
2024-12-11,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8
2024-12-11,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO
2024-12-12,Ed Wood,1994,https://boxd.it/2adM
2024-12-27,Pulse,2001,https://boxd.it/1s3y
2025-01-04,Nosferatu,2024,https://boxd.it/f5eG
2025-01-05,Akira,1988,https://boxd.it/2b1i
2025-01-06,Suspicion,1941,https://boxd.it/1TNo
2025-01-06,Marnie,1964,https://boxd.it/2afe
2025-01-08,I Confess,1953,https://boxd.it/1lPK
2025-01-09,Mr. Arkadin,1955,https://boxd.it/SZc
2025-01-09,The Stranger,1946,https://boxd.it/1DP4
2025-01-09,Touch of Evil,1958,https://boxd.it/28II
2025-01-12,Four Flies on Grey Velvet,1971,https://boxd.it/1kN4
2025-01-12,The Bird with the Crystal Plumage,1970,https://boxd.it/1DDW
2025-01-12,Tenebre,1982,https://boxd.it/1mRM
2025-01-12,Opera,1987,https://boxd.it/1E2M
2025-01-13,Trafic,1971,https://boxd.it/1TZu
2025-01-19,The 40 Year Old Virgin,2005,https://boxd.it/21hK
2025-01-20,Until the End of the World,1991,https://boxd.it/1WuY
2025-01-24,Golem,1980,https://boxd.it/3EiY
2025-01-24,The War of the Worlds: Next Century,1981,https://boxd.it/5CKq
2025-01-26,Cloud,2024,https://boxd.it/LhR0
2025-01-26,Juror #2,2024,https://boxd.it/FRwU
2025-01-27,Heretic,2024,https://boxd.it/H1lY
2025-01-27,The Girl with the Needle,2024,https://boxd.it/KQ3M
2025-01-28,Seduce Me,2010,https://boxd.it/MYb4
2025-01-28,Mammas,2013,https://boxd.it/x4uY
2025-01-28,Green Porno,2008,https://boxd.it/UBrO
2025-01-28,Godland,2022,https://boxd.it/Ag9E
2025-01-28,Toll,2023,https://boxd.it/yQpO
2025-01-28,Motel Destino,2024,https://boxd.it/HXMo
2025-01-29,Shine Your Eyes,2020,https://boxd.it/opwI
2025-01-30,Wife of a Spy,2020,https://boxd.it/pHCc
2025-02-02,Dune,1984,https://boxd.it/29tY
2025-02-02,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4
2025-02-02,Charisma,1999,https://boxd.it/2ogU
2025-02-03,Tokyo Sonata,2008,https://boxd.it/1ZxQ
2025-02-04,Martha,1974,https://boxd.it/1Wzu
2025-02-24,The Brutalist,2024,https://boxd.it/k4BO
2025-03-02,Blood and Black Lace,1964,https://boxd.it/1qme
2025-03-03,Black Sunday,1960,https://boxd.it/1rlG
2025-03-05,"Kill, Baby... Kill!",1966,https://boxd.it/1qnc
